epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,18311.2,0.51579,0.35221,0.92989,0.83669,0.78801,0.79621,0.69115,0.61545,0.82586,0.97742,0.002674,0.002674,0.002674
113,18474.6,0.52248,0.35518,0.93129,0.8344,0.789,0.79645,0.69169,0.61488,0.82592,0.97725,0.002608,0.002608,0.002608
114,18637.7,0.52083,0.35255,0.92953,0.83397,0.7903,0.79602,0.69155,0.61414,0.82534,0.97696,0.002542,0.002542,0.002542
115,18800.7,0.51631,0.34937,0.92714,0.83411,0.79069,0.79625,0.69213,0.61366,0.82543,0.9769,0.002476,0.002476,0.002476
116,18964.1,0.51787,0.35001,0.92839,0.83485,0.7898,0.79669,0.6923,0.61289,0.82493,0.97664,0.00241,0.00241,0.00241
117,19127.3,0.5145,0.3485,0.92519,0.83695,0.78755,0.79689,0.69222,0.61208,0.82507,0.97635,0.002344,0.002344,0.002344
118,19290.7,0.50635,0.34211,0.92304,0.83733,0.78728,0.79707,0.69244,0.61154,0.82458,0.97617,0.002278,0.002278,0.002278
119,19454.1,0.5051,0.34222,0.92495,0.84028,0.78583,0.79723,0.6927,0.61099,0.82435,0.97603,0.002212,0.002212,0.002212
120,19617.1,0.50289,0.33908,0.92302,0.84109,0.78509,0.79728,0.69288,0.61056,0.82518,0.97598,0.002146,0.002146,0.002146
121,19780.3,0.49858,0.33587,0.92059,0.84146,0.78484,0.79713,0.69297,0.61041,0.82609,0.97607,0.00208,0.00208,0.00208
122,19943.7,0.49696,0.33551,0.92023,0.84159,0.78548,0.79705,0.69298,0.60947,0.82611,0.97575,0.002014,0.002014,0.002014
123,20106.9,0.49411,0.33249,0.91953,0.84024,0.78678,0.79714,0.69319,0.60879,0.8257,0.97545,0.001948,0.001948,0.001948
124,20270.6,0.49758,0.33377,0.91967,0.83548,0.78927,0.79712,0.69359,0.60812,0.82608,0.97515,0.001882,0.001882,0.001882
125,20433.9,0.48822,0.32832,0.91567,0.83577,0.78919,0.7973,0.69393,0.60763,0.82594,0.97501,0.001816,0.001816,0.001816
126,20596.8,0.49038,0.32943,0.91769,0.83614,0.78921,0.79395,0.69372,0.60706,0.82672,0.97463,0.00175,0.00175,0.00175
127,20760.2,0.48431,0.32457,0.91585,0.84202,0.78532,0.79401,0.69425,0.6062,0.82645,0.9744,0.001684,0.001684,0.001684
128,20923.4,0.48204,0.32285,0.91521,0.84179,0.7854,0.79396,0.69469,0.60542,0.82611,0.97422,0.001618,0.001618,0.001618
129,21086.4,0.48086,0.319,0.91543,0.84157,0.78537,0.79398,0.69504,0.6049,0.82576,0.9741,0.001552,0.001552,0.001552
130,21249.8,0.47727,0.31835,0.91448,0.84284,0.78443,0.79404,0.69531,0.60428,0.82506,0.97386,0.001486,0.001486,0.001486
131,21413,0.47706,0.32223,0.91351,0.8434,0.7841,0.79446,0.69558,0.60345,0.82538,0.97344,0.00142,0.00142,0.00142
132,21576.3,0.47283,0.31491,0.91188,0.84382,0.78381,0.79432,0.69569,0.6027,0.82499,0.97319,0.001354,0.001354,0.001354
133,21739.8,0.47156,0.31387,0.91111,0.84405,0.78386,0.79451,0.69638,0.60183,0.8247,0.97269,0.001288,0.001288,0.001288
134,21902.9,0.46983,0.3146,0.91151,0.84445,0.78355,0.79451,0.69644,0.60113,0.82506,0.97243,0.001222,0.001222,0.001222
135,22066.3,0.46307,0.30775,0.90757,0.84458,0.78381,0.79449,0.69686,0.60041,0.82458,0.97205,0.001156,0.001156,0.001156
136,22229.5,0.46174,0.30654,0.90885,0.84479,0.7835,0.79443,0.69687,0.59978,0.82407,0.97186,0.00109,0.00109,0.00109
137,22392.5,0.45875,0.30397,0.90728,0.8452,0.78347,0.79448,0.69749,0.5991,0.82428,0.97156,0.001024,0.001024,0.001024
138,22555.9,0.45444,0.30115,0.90602,0.84528,0.78303,0.79454,0.69761,0.59881,0.82397,0.9714,0.000958,0.000958,0.000958
139,22718.8,0.45285,0.30246,0.90476,0.84566,0.7827,0.79462,0.69782,0.5979,0.82377,0.97114,0.000892,0.000892,0.000892
140,22881.8,0.45006,0.30059,0.90621,0.84622,0.78258,0.79461,0.69835,0.59736,0.82433,0.97105,0.000826,0.000826,0.000826
141,23056.5,0.39311,0.23997,0.86385,0.84641,0.78247,0.79482,0.69887,0.59688,0.82495,0.9708,0.00076,0.00076,0.00076
142,23219,0.38121,0.23248,0.8583,0.84631,0.78259,0.79496,0.69913,0.59614,0.82492,0.97055,0.000694,0.000694,0.000694
143,23381.6,0.37551,0.22954,0.8559,0.84632,0.78232,0.79513,0.69946,0.59568,0.82518,0.97045,0.000628,0.000628,0.000628
144,23544.2,0.37198,0.22749,0.85562,0.84633,0.78209,0.79513,0.69958,0.59497,0.82609,0.97018,0.000562,0.000562,0.000562
145,23706.7,0.36771,0.22554,0.85253,0.84658,0.78226,0.79514,0.69974,0.59437,0.82677,0.9699,0.000496,0.000496,0.000496
146,23869.4,0.36405,0.22173,0.85012,0.84726,0.78197,0.79529,0.70021,0.59366,0.82789,0.96963,0.00043,0.00043,0.00043
147,24031.8,0.36056,0.21996,0.85162,0.84736,0.78202,0.79531,0.70053,0.59303,0.82891,0.96934,0.000364,0.000364,0.000364
148,24194.3,0.35881,0.21934,0.85073,0.84761,0.78197,0.79544,0.70081,0.5923,0.82944,0.96909,0.000298,0.000298,0.000298
149,24357.2,0.35354,0.21735,0.85095,0.84718,0.78128,0.79525,0.70068,0.59136,0.82952,0.96865,0.000232,0.000232,0.000232
150,24519.7,0.35061,0.2155,0.84741,0.84733,0.78098,0.79556,0.70119,0.59086,0.83088,0.96857,0.000166,0.000166,0.000166
