epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,18484.5,0.47988,0.34281,0.98915,0.94065,0.91627,0.94569,0.89802,0.33574,0.27064,0.8575,0.003862,0.003862,0.003862
95,18680.8,0.4814,0.34102,0.9922,0.92571,0.92821,0.94445,0.89759,0.33308,0.2736,0.8579,0.003796,0.003796,0.003796
96,18877,0.47866,0.34512,0.99355,0.93185,0.92606,0.9443,0.89802,0.33352,0.27174,0.85974,0.00373,0.00373,0.00373
97,19073.4,0.47618,0.33867,0.99202,0.92502,0.9256,0.94512,0.89766,0.33047,0.26926,0.85794,0.003664,0.003664,0.003664
98,19270,0.47431,0.3379,0.99085,0.9237,0.92548,0.9451,0.89876,0.32875,0.26895,0.85686,0.003598,0.003598,0.003598
99,19466.3,0.46897,0.33305,0.98714,0.94137,0.9124,0.94529,0.89794,0.32765,0.26663,0.85603,0.003532,0.003532,0.003532
100,19662.8,0.46834,0.32977,0.98275,0.92654,0.92974,0.94553,0.89897,0.3283,0.26639,0.85777,0.003466,0.003466,0.003466
101,19858.9,0.46423,0.33189,0.98048,0.92234,0.93302,0.94628,0.89934,0.32515,0.26487,0.8559,0.0034,0.0034,0.0034
102,20055.5,0.46039,0.32619,0.97858,0.92968,0.92126,0.94573,0.90061,0.32451,0.2686,0.85512,0.003334,0.003334,0.003334
103,20251.8,0.45989,0.32225,0.97874,0.92528,0.92403,0.94499,0.89932,0.32486,0.26913,0.85539,0.003268,0.003268,0.003268
104,20448.2,0.45375,0.31913,0.98159,0.93169,0.91887,0.94498,0.89942,0.3243,0.26955,0.85582,0.003202,0.003202,0.003202
105,20644.6,0.4537,0.31555,0.97607,0.93466,0.9175,0.94624,0.90075,0.32188,0.26965,0.85494,0.003136,0.003136,0.003136
106,20841.1,0.45274,0.31755,0.97376,0.93855,0.91276,0.94708,0.90184,0.32102,0.26959,0.85505,0.00307,0.00307,0.00307
107,21037.4,0.45406,0.32016,0.97484,0.92986,0.925,0.94778,0.90181,0.32057,0.2675,0.85612,0.003004,0.003004,0.003004
108,21233.9,0.44971,0.31321,0.97545,0.92876,0.92592,0.94801,0.90201,0.31965,0.26722,0.85606,0.002938,0.002938,0.002938
109,21430.3,0.44597,0.30908,0.97258,0.92896,0.92741,0.94776,0.90159,0.31851,0.26838,0.85538,0.002872,0.002872,0.002872
110,21626.5,0.43455,0.30848,0.96811,0.92921,0.92728,0.94754,0.90171,0.31706,0.26782,0.85513,0.002806,0.002806,0.002806
111,21822.8,0.43909,0.30599,0.96982,0.92904,0.92772,0.94685,0.90182,0.31477,0.26771,0.85304,0.00274,0.00274,0.00274
112,22019.1,0.43609,0.30191,0.96889,0.92977,0.92727,0.94653,0.9021,0.31394,0.26949,0.85254,0.002674,0.002674,0.002674
113,22215.5,0.43621,0.30661,0.96611,0.93142,0.92542,0.94718,0.9022,0.31249,0.26686,0.85152,0.002608,0.002608,0.002608
114,22411.7,0.43675,0.30997,0.9642,0.93249,0.92456,0.94611,0.90199,0.31101,0.26674,0.85061,0.002542,0.002542,0.002542
115,22608.1,0.4286,0.29877,0.96456,0.93083,0.92622,0.94522,0.90143,0.31027,0.26815,0.84979,0.002476,0.002476,0.002476
116,22804.4,0.42376,0.29538,0.96044,0.93255,0.9246,0.94588,0.90169,0.3091,0.2683,0.84933,0.00241,0.00241,0.00241
117,23000.7,0.42444,0.29412,0.95887,0.93405,0.92132,0.94588,0.90204,0.30828,0.26888,0.84866,0.002344,0.002344,0.002344
118,23197.1,0.42094,0.29218,0.95857,0.92737,0.92405,0.94483,0.90146,0.30781,0.26916,0.84846,0.002278,0.002278,0.002278
119,23393.4,0.41627,0.28838,0.95563,0.92349,0.9276,0.94435,0.90224,0.30681,0.2696,0.84814,0.002212,0.002212,0.002212
120,23590.6,0.41994,0.2915,0.9589,0.92068,0.93031,0.94436,0.90293,0.306,0.27006,0.84802,0.002146,0.002146,0.002146
121,23789.3,0.41012,0.28556,0.94899,0.91991,0.93226,0.94416,0.90294,0.30488,0.27116,0.8476,0.00208,0.00208,0.00208
122,23988.6,0.41432,0.28471,0.95098,0.93587,0.91585,0.9438,0.90263,0.30437,0.27139,0.84748,0.002014,0.002014,0.002014
