epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,11963.4,0.6816,0.52723,1.05679,0.88374,0.90635,0.91329,0.82307,0.55016,0.47604,0.97703,0.005578,0.005578,0.005578
69,12139.9,0.67076,0.51722,1.05582,0.88972,0.90103,0.91415,0.82408,0.54953,0.47717,0.97685,0.005512,0.005512,0.005512
70,12316.5,0.67557,0.51966,1.05195,0.89217,0.90048,0.91414,0.82479,0.54951,0.47863,0.97746,0.005446,0.005446,0.005446
71,12494.9,0.67295,0.51946,1.05396,0.88656,0.90534,0.91383,0.82448,0.54879,0.48058,0.97743,0.00538,0.00538,0.00538
72,12673.3,0.67105,0.51811,1.05373,0.88563,0.90692,0.91343,0.8246,0.54857,0.48248,0.97766,0.005314,0.005314,0.005314
71,178.375,0.65796,0.49962,1.0463,0.8922,0.90095,0.91399,0.82507,0.54898,0.47877,0.97719,0.00538,0.00538,0.00538
72,355.147,0.66723,0.51025,1.04831,0.88974,0.90264,0.91414,0.8254,0.54842,0.47866,0.97727,0.005314,0.005314,0.005314
73,532.076,0.66751,0.51216,1.05026,0.89051,0.90008,0.9147,0.82643,0.54791,0.47926,0.97699,0.005248,0.005248,0.005248
74,709.095,0.66661,0.50957,1.05292,0.88614,0.90667,0.91476,0.82672,0.5473,0.47988,0.97685,0.005182,0.005182,0.005182
75,885.568,0.6625,0.50951,1.05031,0.88244,0.91055,0.91535,0.82635,0.54727,0.47974,0.97691,0.005116,0.005116,0.005116
76,1061.66,0.66322,0.50487,1.04661,0.88125,0.9105,0.91537,0.82629,0.5462,0.48052,0.97629,0.00505,0.00505,0.00505
77,1238.05,0.6647,0.5053,1.0471,0.87352,0.91272,0.91462,0.8264,0.54596,0.47948,0.97637,0.004984,0.004984,0.004984
78,1414.31,0.66201,0.504,1.04377,0.87369,0.91334,0.9146,0.82655,0.54556,0.47955,0.97604,0.004918,0.004918,0.004918
79,1590.62,0.65719,0.50176,1.04438,0.87316,0.91387,0.91469,0.82654,0.54413,0.47696,0.97522,0.004852,0.004852,0.004852
80,1766.79,0.65821,0.4996,1.04269,0.87636,0.91033,0.9147,0.82649,0.54395,0.47728,0.97496,0.004786,0.004786,0.004786
81,1943.26,0.65217,0.49682,1.0447,0.87456,0.9118,0.9146,0.8273,0.54348,0.47651,0.97459,0.00472,0.00472,0.00472
82,2119.89,0.65272,0.49595,1.04303,0.87334,0.91433,0.91432,0.82676,0.54305,0.47593,0.97418,0.004654,0.004654,0.004654
83,2296.36,0.64854,0.48808,1.03596,0.87527,0.9115,0.91432,0.82714,0.54227,0.47551,0.97353,0.004588,0.004588,0.004588
84,2473.08,0.64797,0.48618,1.03815,0.87428,0.91237,0.91457,0.82774,0.54195,0.47676,0.97354,0.004522,0.004522,0.004522
85,2649.55,0.64213,0.48211,1.03663,0.87257,0.9149,0.91444,0.82774,0.54149,0.4761,0.97344,0.004456,0.004456,0.004456
86,2826.09,0.64081,0.48419,1.03527,0.87024,0.91703,0.91455,0.82806,0.54044,0.47504,0.97261,0.00439,0.00439,0.00439
87,3002.72,0.64351,0.48126,1.03563,0.88652,0.90275,0.91548,0.82863,0.53958,0.47222,0.97219,0.004324,0.004324,0.004324
88,3179.4,0.63528,0.4819,1.0327,0.88688,0.9006,0.91539,0.82855,0.53896,0.47177,0.97164,0.004258,0.004258,0.004258
89,3355.87,0.63347,0.475,1.03158,0.88598,0.9005,0.91482,0.82832,0.53816,0.47108,0.97102,0.004192,0.004192,0.004192
90,3532.18,0.63439,0.47619,1.03209,0.88551,0.90064,0.91498,0.82926,0.53775,0.47095,0.97081,0.004126,0.004126,0.004126
91,3708.52,0.62682,0.47359,1.03253,0.8868,0.90046,0.91508,0.82955,0.53729,0.46967,0.97053,0.00406,0.00406,0.00406
92,3884.61,0.63164,0.47109,1.02979,0.88764,0.90054,0.91507,0.83027,0.53665,0.46919,0.97005,0.003994,0.003994,0.003994
93,4061.13,0.6226,0.46812,1.0257,0.88797,0.9014,0.91518,0.83084,0.53617,0.46888,0.96998,0.003928,0.003928,0.003928
